Difficulty,Title,Frequency,Link,Topics,Companies
MEDIUM,Fill a Special Grid,63.4,https://leetcode.com/problems/fill-a-special-grid,"Array, Divide and Conquer, Matrix",Google
MEDIUM,Decode String,57.0,https://leetcode.com/problems/decode-string,"String, Stack, Recursion","Google, Microsoft, Meta"
EASY,Climbing Stairs,57.0,https://leetcode.com/problems/climbing-stairs,"Math, Dynamic Programming, Memoization",Google
MEDIUM,Path With Maximum Minimum Value,57.0,https://leetcode.com/problems/path-with-maximum-minimum-value,"Array, Binary Search, Depth-First Search, Breadth-First Search, Union Find, Heap (Priority Queue), Matrix",Google
HARD,Basic Calculator,54.4,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion","Google, Meta"
EASY,Add Two Integers,51.3,https://leetcode.com/problems/add-two-integers,Math,"Google, Meta"
EASY,Move Zeroes,51.3,https://leetcode.com/problems/move-zeroes,"Array, Two Pointers","Google, Microsoft"
EASY,Remove Duplicates from Sorted Array,51.3,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Array, Two Pointers","Google, Microsoft, Meta"
HARD,Russian Doll Envelopes,51.3,https://leetcode.com/problems/russian-doll-envelopes,"Array, Binary Search, Dynamic Programming, Sorting",Google
EASY,Logger Rate Limiter,47.7,https://leetcode.com/problems/logger-rate-limiter,"Hash Table, Design, Data Stream",Google
EASY,Build Array from Permutation,47.7,https://leetcode.com/problems/build-array-from-permutation,"Array, Simulation","Google, Microsoft"
MEDIUM,Rotate Array,47.7,https://leetcode.com/problems/rotate-array,"Array, Math, Two Pointers","Google, Microsoft"
MEDIUM,Sort Colors,47.7,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting",Google
MEDIUM,Apply Substitutions,47.7,https://leetcode.com/problems/apply-substitutions,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort",Google
MEDIUM,The Latest Time to Catch a Bus,47.7,https://leetcode.com/problems/the-latest-time-to-catch-a-bus,"Array, Two Pointers, Binary Search, Sorting",Google
MEDIUM,"Pow(x, n)",47.7,https://leetcode.com/problems/powx-n,"Math, Recursion","Google, Meta"
MEDIUM,Find All Duplicates in an Array,43.3,https://leetcode.com/problems/find-all-duplicates-in-an-array,"Array, Hash Table",Google
EASY,Happy Number,43.3,https://leetcode.com/problems/happy-number,"Hash Table, Math, Two Pointers",Google
EASY,Merge Two Sorted Lists,43.3,https://leetcode.com/problems/merge-two-sorted-lists,"Linked List, Recursion",Google
EASY,Search Insert Position,43.3,https://leetcode.com/problems/search-insert-position,"Array, Binary Search","Google, Microsoft"
EASY,Fibonacci Number,43.3,https://leetcode.com/problems/fibonacci-number,"Math, Dynamic Programming, Recursion, Memoization",Google
EASY,Majority Element,43.3,https://leetcode.com/problems/majority-element,"Array, Hash Table, Divide and Conquer, Sorting, Counting",Google
EASY,Number of Equivalent Domino Pairs,43.3,https://leetcode.com/problems/number-of-equivalent-domino-pairs,"Array, Hash Table, Counting",Google
MEDIUM,Delete Nodes And Return Forest,37.6,https://leetcode.com/problems/delete-nodes-and-return-forest,"Array, Hash Table, Tree, Depth-First Search, Binary Tree",Google
HARD,Longest Duplicate Substring,37.6,https://leetcode.com/problems/longest-duplicate-substring,"String, Binary Search, Sliding Window, Rolling Hash, Suffix Array, Hash Function",Google
EASY,Reverse Linked List,37.6,https://leetcode.com/problems/reverse-linked-list,"Linked List, Recursion",Google
MEDIUM,Android Unlock Patterns,37.6,https://leetcode.com/problems/android-unlock-patterns,"Dynamic Programming, Backtracking, Bit Manipulation, Bitmask",Google
MEDIUM,Snapshot Array,37.6,https://leetcode.com/problems/snapshot-array,"Array, Hash Table, Binary Search, Design",Google
MEDIUM,Find Minimum Time to Reach Last Room I,37.6,https://leetcode.com/problems/find-minimum-time-to-reach-last-room-i,"Array, Graph, Heap (Priority Queue), Matrix, Shortest Path",Google
HARD,Total Characters in String After Transformations II,37.6,https://leetcode.com/problems/total-characters-in-string-after-transformations-ii,"Hash Table, Math, String, Dynamic Programming, Counting",Google
HARD,Number of Visible People in a Queue,37.6,https://leetcode.com/problems/number-of-visible-people-in-a-queue,"Array, Stack, Monotonic Stack",Google
HARD,Minimum Time to Finish the Race,37.6,https://leetcode.com/problems/minimum-time-to-finish-the-race,"Array, Dynamic Programming",Google
EASY,Combine Two Tables,37.6,https://leetcode.com/problems/combine-two-tables,Database,Google
HARD,Largest Rectangle in Histogram,37.6,https://leetcode.com/problems/largest-rectangle-in-histogram,"Array, Stack, Monotonic Stack","Google, Microsoft"
MEDIUM,Path Existence Queries in a Graph I,37.6,https://leetcode.com/problems/path-existence-queries-in-a-graph-i,"Array, Hash Table, Binary Search, Union Find, Graph",Google
MEDIUM,Reverse Integer,37.6,https://leetcode.com/problems/reverse-integer,Math,"Google, Microsoft"
EASY,Create Hello World Function,37.6,https://leetcode.com/problems/create-hello-world-function,,Google
MEDIUM,Maximum Swap,37.6,https://leetcode.com/problems/maximum-swap,"Math, Greedy","Google, Meta"
HARD,Meeting Rooms III,29.8,https://leetcode.com/problems/meeting-rooms-iii,"Array, Hash Table, Sorting, Heap (Priority Queue), Simulation",Google
MEDIUM,Second Highest Salary,29.8,https://leetcode.com/problems/second-highest-salary,Database,Google
